id,name_kr,name_en,yolo_id,category,description,reference_model,reference_url,width_cm,depth_cm,height_cm,padding_cm,needs_disassembly,stackable,can_stack_on_top,
0,TV(일반),tv_base,33,GENERAL_APPLIANCE,일반적인 모니터(24~32인치)와 TV를 모두 포함해 일반 TV로 계산했어요.,LG PC 모니터 80cm (약 32인치 이하),https://www.lge.co.kr/monitors/32mn500mw,73,5,43,3.0,FALSE,FALSE,FALSE,
1,TV(대형),tv_lg,34,GENERAL_APPLIANCE,65인치 이상이거나 사진상 거실 벽면 대부분을 차지하면 대형 TV로 계산했어요.,LG 나노셀 AI 163cm (약 65인치 기준),https://www.lge.co.kr/tvs/65nano80aea-stand,146,58,84,3.0,FALSE,FALSE,FALSE,
2,냉장고(일반),refrigerator_base,23,KITCHEN_APPLIANCE,상하 형태(상냉장/하냉동 또는 상냉동/하냉장 형태)의 냉장고를 기준으로 계산했어요.,LG 일반냉장고 461L,https://www.lge.co.kr/refrigerators/d463mrr33,70,73,185,2.0,FALSE,FALSE,FALSE,
3,냉장고(대형),refrigerator_lg,24,KITCHEN_APPLIANCE,"양문형 냉장고를 기준으로 계산했으며, 문이 양쪽으로 2개 이상인 경우는 대형 냉장고로 계산해요.",LG 디오스 오브제컬렉션 냉장고 (매직스페이스),https://www.lge.co.kr/refrigerators/t873mee111,92,92,180,2.0,TRUE,FALSE,FALSE,
4,세탁기/건조기,washing_machine,37,GENERAL_APPLIANCE,"통돌이 세탁기, 드럼 세탁기, 건조기를 모두 포함해 계산했어요.",LG 트롬 세탁기,https://www.lge.co.kr/washing-machines/f19wdlp,70,77,99,2.0,FALSE,FALSE,FALSE,
5,타워형세탁건조기,washing_dryer,36,GENERAL_APPLIANCE,건조기와 세탁기가 붙어있는 타워 형태를 기준으로 계산했어요.,LG 트롬 오브제컬렉션 워시타워,https://www.lge.co.kr/wash-tower/w2520wzm,70,83,189,2.0,TRUE,FALSE,FALSE,
6,스타일러,styler,31,GENERAL_APPLIANCE,의류 관리 전용 스탠드형 스타일러를 기준으로 계산했어요.,LG 스타일러 오브제컬렉션,https://www.lge.co.kr/lg-styler/sc5gmr52c,60,62,200,2.0,FALSE,FALSE,FALSE,
7,식기세척기(대형),dishwasher_lg,14,KITCHEN_APPLIANCE,싱크대 하부장에 놓는 14인용 식기세척기를 기준으로 계산했어요.,LG 디오스 오브제컬렉션 식기세척기,https://www.lge.co.kr/dishwashers/due6bge,60,57,82,2.0,FALSE,FALSE,FALSE,
8,공기청정기,air_purifier,2,GENERAL_APPLIANCE,바닥에 세워 사용하는 약 30평형 공기청정기를 기준으로 계산했어요.,LG 퓨리케어,https://www.lge.co.kr/air-purifier/as305dwwl,38,38,108,2.0,FALSE,FALSE,FALSE,
9,에어컨(벽걸이),air_conditioner_wall,1,GENERAL_APPLIANCE,벽에 거는 형태의 에어컨을 기준으로 계산했어요.,LG 휘센 벽걸이에어컨,https://www.lge.co.kr/air-conditioners/sq09ek1wes-akor,100,21,33,2.0,TRUE,TRUE,FALSE,
10,에어컨(스탠드),air_conditioner_stand,0,GENERAL_APPLIANCE,세우는 형태의 에어컨을 기준으로 계산했어요.,LG 휘센 오브제컬렉션 뷰I,https://www.lge.co.kr/air-conditioners/fw18ev3ea1,35,30,185,2.0,TRUE,FALSE,FALSE,
11,청소기,vacuum_cleaner,35,GENERAL_APPLIANCE,스탠드가 있는 무선 청소기를 기준으로 계산했어요.,LG 코드제로 A9S,https://www.lge.co.kr/vacuum-cleaners/ax920bwe-bkor1,26,30,100,1.0,FALSE,TRUE,FALSE,
12,침대(소형),bed_sm,4,GENERAL_FURNITURE,슈퍼싱글 이하의 사이즈(싱글/슈퍼싱글)를 소형 침대로 계산했어요.,이케아 SLATTUM 슬라툼,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-vissle-dark-grey-70571242/,206,124,40,1.0,FALSE,FALSE,FALSE,
13,침대(대형),bed_lg,3,GENERAL_FURNITURE,더블 이상의 사이즈(더블/퀸/킹)를 대형 침대로 계산했어요.,이케아 MALM 말름 오토만침대,https://www.ikea.com/kr/ko/p/malm-ottoman-bed-white-90404803/,209,166,38,1.0,FALSE,FALSE,FALSE,
14,책상,desk,10,GENERAL_FURNITURE,다리가 4개인 직사각형 형태의 일반 책상을 기준으로 계산했어요.,이케아 MICKE 미케,https://www.ikea.com/kr/ko/p/micke-desk-white-80354276/,105,50,75,1.0,FALSE,FALSE,TRUE,
15,책장,bookshelf,6,GENERAL_FURNITURE,"높이가 약 1.5m 내외이며, 너비 약 70~80cm 정도의 개방형 선반을 기준으로 계산했어요.",이케아 KALLAX 칼락스선반유닛,https://www.ikea.com/kr/ko/p/kallax-shelving-unit-white-20351884/,77,39,147,1.0,FALSE,FALSE,TRUE,
16,수납장 일반,storage_base,28,GENERAL_FURNITURE,"높이가 약 1m 내외이며, 너비 약 45~60cm 정도인 수납장을 기준으로 계산했어요.",이케아 VIHALS 비할스 미닫이수납장,https://www.ikea.com/kr/ko/p/vihals-cabinet-with-sliding-doors-white-00483263/,95,47,90,1.0,FALSE,FALSE,TRUE,
17,수납장 대형,storage_lg,29,GENERAL_FURNITURE,"높이가 약 2m 내외이며, 너비 약 80cm인 수납장을 기준으로 계산했어요.",이케아 BILLY 빌리,https://www.ikea.com/kr/ko/p/billy-bookcase-with-doors-white-s99528347/,80,30,202,1.0,FALSE,FALSE,TRUE,
18,소파(소형),sofa_sm,27,GENERAL_FURNITURE,1인용 소파를 소형 소파로 계산했어요.,이케아 STRANDMON 스트란드몬,https://www.ikea.com/kr/ko/p/strandmon-wing-chair-nordvalla-dark-grey-30359827/,82,96,101,1.0,FALSE,FALSE,TRUE,
19,소파(대형),sofa_lg,26,GENERAL_FURNITURE,1인용을 제외한 2인 이상 소파는 모두 대형 소파로 계산했어요.,이케아 KIVIK 쉬비크,https://www.ikea.com/kr/ko/p/kivik-2-seat-sofa-tresund-light-beige-s59482822/,190,95,83,1.0,FALSE,FALSE,TRUE,
20,식탁(2인),dining_table_sm,13,GENERAL_FURNITURE,2인용 식탁이나 정사각형·정원형 식탁은 소형 식탁으로 계산했어요.,이케아 VIHALS 비할스,https://www.ikea.com/kr/ko/p/vihals-table-white-white-s29578519/,74,74,75,1.0,FALSE,FALSE,TRUE,
21,식탁(4인),dining_table_md,12,GENERAL_FURNITURE,4인용 식탁을 중형 식탁으로 계산했어요.,이케아 LISABO 리사보,https://www.ikea.com/kr/ko/p/lisabo-table-ash-veneer-80365717/,140,78,74,1.0,FALSE,FALSE,TRUE,
22,식탁(6인),dining_table_lg,11,GENERAL_FURNITURE,6인용 이상 식탁은 대형 식탁으로 계산했어요.,이케아 SKOGSTA 스콕스타,https://www.ikea.com/kr/ko/p/skogsta-dining-table-acacia-black-40419265/,235,100,74,1.0,FALSE,FALSE,TRUE,
23,탁자,sitting_table,25,GENERAL_FURNITURE,탁자는 일반적인 낮은 커피테이블 크기를 기준으로 계산했어요.,이케아 LACK 라크,https://www.ikea.com/kr/ko/p/lack-coffee-table-black-brown-20352987/,90,55,45,1.0,FALSE,FALSE,TRUE,
24,협탁/콘솔/트롤리,console_table,9,GENERAL_FURNITURE,협탁/콘솔/트롤리 등 작은 보조 테이블 기준으로 계산했어요.,이케아 NESNA 네스나,https://www.ikea.com/kr/ko/p/nesna-bedside-table-bamboo-20247128/,36,35,45,1.0,FALSE,TRUE,FALSE,
25,의자,chair,7,GENERAL_FURNITURE,"식탁 의자, 책상 의자 등 소파를 제외한 의자를 기준으로 계산했어요.",이케아 TEODORES 테오도레스,https://www.ikea.com/kr/ko/p/teodores-chair-white-70350938/,46,54,80,1.0,FALSE,TRUE,FALSE,
26,옷장,closet,8,GENERAL_FURNITURE,"높이가 약 1.7m 내외이며, 너비 약 110cm인 옷장을 기준으로 계산했어요.",이케아 KLEPPSTAD 클렙스타드,https://www.ikea.com/kr/ko/p/kleppstad-wardrobe-with-3-doors-white-80441759/,117,55,176,1.0,FALSE,FALSE,TRUE,
27,돌침대,bed_stone,5,SPECIAL_FURNITURE,돌침대/흙침대 모두 포함하여 퀸사이즈 침대를 기준으로 계산했어요.,장수돌침대 2604Q 아일 스타파 퀸,https://www.jangsooshop.com/product/%EC%9E%A5%EC%88%98%EB%8F%8C%EC%B9%A8%EB%8C%80-2604q-%EC%95%84%EC%9D%BC-%EC%8A%A4%ED%83%80%ED%8C%8C-%ED%80%B8/467/category/27/display/1/#product-detail,164,221,120,0.5,TRUE,FALSE,TRUE,
28,피아노,piano_classic,19,SPECIAL_FURNITURE,분리되지 않는 클래식 피아노를 기준으로 계산했어요.,영창 피아노,https://ycmall.kr/goods/goods_view.php?goodsNo=1000001040,153,61,121,2.0,FALSE,FALSE,FALSE,
29,디지털 피아노(키보드),piano_digital,20,GENERAL_FURNITURE,다리와 건반이 분리되는 디지털 피아노만 키보드 크기를 기준으로 계산했어요.,영창 커즈와일 디지털피아노 키보드,https://ycmall.kr/goods/goods_view.php?goodsNo=1000000993,132,34,12,1.0,FALSE,TRUE,FALSE,
30,안마의자(리클라이너),recliner,22,SPECIAL_FURNITURE,안마의자와 리클라이너를 모두 안마의자로 간주해 계산했어요.,바디프랜드 메디컬팬텀 2026,https://www.bodyfriend.co.kr/bodyfriend/1982,155,85,120,2.0,FALSE,FALSE,FALSE,
31,러닝머신,treadmill,32,SPECIAL_FURNITURE,"가정용 접이식 러닝머신 기준이며, 접었을 때 크기로 계산했어요.",이고진 가정용 러닝머신 (접었을 때 기준),https://brand.naver.com/egojin/products/7932869920?NaPm=ct%3Dmkm6t9pc%7Cci%3D1eb8013079b94db8a9745821ce0b882f6efbbb2e%7Ctr%3Dslsbrc%7Csn%3D156815%7Chk%3Dc4fce4b137d6fb262146e1925fe039549395871c&nl-au=2a8615364a224bdeb349445bd1120b7d&nl-query=%EA%B0%80%EC%A0%95%EC%9A%A9+%EB%9F%AC%EB%8B%9D%EB%A8%B8%EC%8B%A0,83,100,158,2.0,FALSE,FALSE,FALSE,
32,운동기구,fitness,16,SPECIAL_FURNITURE,가정용 접이식 바이크를 접었을 때 크기 기준으로 계산해요.,이고진 접이식 실내자전거 (보관시 기준),https://brand.naver.com/egojin/products/6284977172?nl-query=%EC%9D%B4%EA%B3%A0%EC%A7%84%20%EC%8B%A4%EB%82%B4%20%EB%B0%94%EC%9D%B4%ED%81%AC&nl-ts-pid=jT8k7dqVJLRssPL1xZh-270090&frm=NVSCPSI&NaPm=ci%3DjT8k7dqVJLRssPL1xZh-270090%7Cct%3Dmkm6x3yy%7Ctr%3Dnsls%7Csn%3D156815%7Chk%3D644e8af243d6c5d7c5d0e557fa4f9d06cba7f691,46,54,143,2.0,FALSE,FALSE,FALSE,
33,금고,strongbox,30,SPECIAL_FURNITURE,실내에서 이동이 가능한 가정용 금고를 기준으로 계산했어요.,선일금고 루셀 소형 가정용 금고,https://search.shopping.naver.com/catalog/8665942625?cat_id=50003744&frm=NVSCPRO&query=%EA%B0%80%EC%A0%95%EC%9A%A9+%EA%B8%88%EA%B3%A0&nl-ts-pid=jT8k%2FsqVJLRssPL3bHw-230209&NaPm=ct%3Dmkm7255c%7Cci%3D5963c4f4f1411929ae085fbfce0b805bfa3c0c3b%7Ctr%3Dsls%7Csn%3D95694%7Chk%3D1fda99274f9af90ee556815f93404fe230c38813,41,45,54,0.5,FALSE,FALSE,TRUE,
34,어항,fishbowl,15,SPECIAL_FURNITURE,가로 약 60cm 내외의 2자 어항 기준으로 계산했어요.,2자 어항 기준,,60,30,36,3.0,FALSE,FALSE,FALSE,
35,시스템 행거,hanger_module,18,SPECIAL_FURNITURE,분해 및 조립이 필요한 시스템 행거를 기준으로 계산했어요.,한샘 스테이 드레스룸 세트 240+118cm 서랍+거울형,https://store.hanssem.com/goods/743257,1,1,1,1.5,FALSE,FALSE,FALSE,
36,항아리(장독대),pot,21,SPECIAL_FURNITURE,약 33L 용량의 장독대(김장 약 15포기가 들어가는 크기)를 기준으로 계산했어요.,장수옹기 5호 33L 기준(배추 15포기),https://smartstore.naver.com/hangari/products/346701606,40,40,46,2.0,FALSE,FALSE,FALSE,
37,화분,flowerpot,17,SPECIAL_FURNITURE,식물 포함 전체 높이가 약 1.4m인 대형 화분을 기준으로 계산했어요.,식물 높이 1.4m이상 대형 화분(식물 포함),https://store.ohou.se/goods/182873,30,30,140,2.0,FALSE,FALSE,FALSE,
38,에어컨(벽걸이) 실외기,ac_outdoor_wall,null,GENERAL_APPLIANCE,벽걸이 에어컨의 실외기를 기준으로 계산했어요.,,,87,33,65,1.0,FALSE,FALSE,FALSE,
39,에어컨(스탠드) 실외기,ac_outdoor_stand,null,GENERAL_APPLIANCE,스탠드 에어컨의 실외기를 기준으로 계산했어요.,,,97,38,80,1.0,FALSE,FALSE,FALSE,
40,이사 박스 5호,box,null,ETC,,,,40,60,45,0.0,FALSE,TRUE,TRUE,
