name_en,orientation_code,note
tv_base,WDH,기본 배치
tv_base,DWH,바닥 90도 회전
tv_base,WHD,
tv_base,HWD,
tv_lg,WDH,기본 배치
tv_lg,DWH,바닥 90도 회전
tv_lg,WHD,
tv_lg,HWD,
refrigerator_base,WDH,기본 배치
refrigerator_base,DWH,바닥 90도 회전
refrigerator_lg,WDH,기본 배치
refrigerator_lg,DWH,바닥 90도 회전
washing_machine,WDH,기본 배치
washing_machine,DWH,바닥 90도 회전
washing_dryer,WDH,기본 배치
washing_dryer,DWH,바닥 90도 회전
styler,WDH,기본 배치
styler,DWH,바닥 90도 회전
dishwasher_lg,WDH,기본 배치
dishwasher_lg,DWH,바닥 90도 회전
air_purifier,WDH,기본 배치
air_purifier,DWH,바닥 90도 회전
air_conditioner_wall,WDH,기본 배치
air_conditioner_wall,DWH,바닥 90도 회전
air_conditioner_stand,WDH,기본 배치
air_conditioner_stand,DWH,바닥 90도 회전
vacuum_cleaner,WDH,기본 배치
vacuum_cleaner,DWH,바닥 90도 회전
vacuum_cleaner,WHD,
vacuum_cleaner,HWD,
vacuum_cleaner,DHW,
vacuum_cleaner,HDW,
bed_sm,DHW,옆으로 누워서 배치
bed_sm,HDW,옆으로 누워서 배치
bed_lg,DHW,옆으로 누워서 배치
bed_lg,HDW,옆으로 누워서 배치
desk,WDH,기본 배치
desk,DWH,바닥 90도 회전
bookshelf,WDH,기본 배치
bookshelf,DWH,바닥 90도 회전
storage_base,WDH,기본 배치
storage_base,DWH,바닥 90도 회전
storage_lg,WDH,기본 배치
storage_lg,DWH,바닥 90도 회전
sofa_sm,WDH,기본 배치
sofa_sm,DWH,바닥 90도 회전
sofa_lg,WDH,기본 배치
sofa_lg,DWH,바닥 90도 회전
sofa_lg,WHD,
sofa_lg,HWD,
sofa_lg,DHW,
sofa_lg,HDW,
dining_table_sm,WDH,기본 배치
dining_table_sm,DWH,바닥 90도 회전
dining_table_md,WDH,기본 배치
dining_table_md,DWH,바닥 90도 회전
dining_table_lg,WDH,기본 배치
dining_table_lg,DWH,바닥 90도 회전
sitting_table,WDH,기본 배치
sitting_table,DWH,바닥 90도 회전
console_table,WDH,기본 배치
console_table,DWH,바닥 90도 회전
chair,WDH,기본 배치
chair,DWH,바닥 90도 회전
chair,WHD,
chair,HWD,
chair,DHW,
chair,HDW,
closet,WDH,기본 배치
closet,DWH,바닥 90도 회전
bed_stone,WDH,기본 배치
bed_stone,DWH,바닥 90도 회전
piano_classic,WDH,기본 배치
piano_classic,DWH,바닥 90도 회전
piano_digital,WDH,기본 배치
piano_digital,DWH,바닥 90도 회전
piano_digital,WHD,
piano_digital,HWD,
piano_digital,DHW,
piano_digital,HDW,
recliner,WDH,기본 배치
recliner,DWH,바닥 90도 회전
treadmill,WDH,기본 배치
treadmill,DWH,바닥 90도 회전
treadmill,DHW,
treadmill,HDW,
fitness,WDH,기본 배치
fitness,DWH,바닥 90도 회전
strongbox,WDH,기본 배치
strongbox,DWH,바닥 90도 회전
fishbowl,WDH,기본 배치
fishbowl,DWH,바닥 90도 회전
hanger_module,WDH,기본 배치
hanger_module,DWH,바닥 90도 회전
pot,WDH,기본 배치
pot,DWH,바닥 90도 회전
flowerpot,WDH,기본 배치
flowerpot,DWH,바닥 90도 회전
ac_outdoor_wall,WDH,기본 배치
ac_outdoor_wall,DWH,바닥 90도 회전
ac_outdoor_stand,WDH,기본 배치
ac_outdoor_stand,DWH,바닥 90도 회전
box,WDH,기본 배치
box,DWH,바닥 90도 회전
